name,sex
['郭云齐'],['男']
,
['殷果儿'],['女']
,
['洛安·沙巴诺尔'],['女']
,
['艾德·斯克林'],['男']
,
['休·劳瑞'],['男']
,
['雷·史蒂文森'],['男']
,
['徐静蕾'],['女']
,
['乔治·克鲁尼'],['男']
,
['王丽坤'],['女']
,
['刘之冰'],['男']
,
['金城武'],['男']
,
['尚长荣'],['男']
,
['伊桑·霍克'],['男']
,
['莎拉·斯努克'],['女']
,
['妮可·基德曼'],['女']
,
['陶泽如'],['男']
,
['亚当·莱文'],['男']
,
['Zixi Liu'],['女']
,
['申贤俊'],['男']
,
['乔振宇'],['男']
,
['李程彬'],['男']
,
['吴亦凡'],['男']
,
['郑元畅'],['男']
,
['姜业婷'],['女']
,
['三木真一郎'],['男']
,
['山寺宏一'],['男']
,
['隋咏良'],['男']
,
['刘一莹'],['女']
,
['唐娜'],['女']
,
['尔玛依娜'],['女']
,
['顾又铭'],['男']
,
['索朗卓嘎'],['女']
,
['杨雪'],['女']
,
['阿旺仁青'],['男']
,
['安吉拉·贝塞特'],['女']
,
['拉旺罗布'],['男']
,
['张铎'],['男']
,
['宋晓峰'],['男']
,
['陈龙'],['男']
,
['蓝盈莹'],['女']
,
['程野'],['男']
,
['郭月'],['女']
,
['潘辰'],['女']
,
['温尚翊'],['男']
,
['艾丽娅'],['女']
,
['王识贤'],['男']
,
['黄姵嘉'],['女']
,
['刘以豪'],['男']
,
['葛天'],['女']
,
['迪伦·麦克德莫特'],['男']
,
['米拉·乔沃维奇'],['女']
,
['杨侃'],['男']
,
['王增奇'],['男']
,
['皮尔斯·布鲁斯南'],['男']
,
['大谷育江'],['女']
,
['松本梨香'],['女']
,
['张艾'],['女']
,
['金范'],['男']
,
['孙艺珍'],['女']
,
['Yuanbin Lin'],['女']
,
['Bolin Tan'],['女']
,
['翟巍'],['男']
,
['罗玉婷'],['女']
,
['Aamir Hussain Khan'],['男']
,
['安努舒卡·莎玛'],['女']
,
['白茹'],['女']
,
['刘校妤'],['女']
,
['何冠男'],['女']
,
['雨侨'],['女']
,
['朱珠'],['女']
,
['文咏珊'],['女']
,
['李治廷'],['男']
,
['周冬雨'],['女']
,
['提奥·詹姆斯'],['男']
,
['奥克塔维亚·斯宾瑟'],['女']
,
['谢琳·伍德蕾'],['女']
,
['摩根·弗里曼'],['男']
,
['周大强'],['男']
,
['阮经天'],['男']
,
['陆毅'],['男']
,
['李彦峰'],['男']
,
['吴昊宸'],['男']
,
['马伊琍'],['女']
,
['丁妍'],['女']
,
['袁文康'],['男']
,
['马燕'],['女']
,
['孙波'],['男']
,
['罗京民'],['男']
,
['雅各布·特瑞布雷'],['男']
,
['伊冯娜·斯特拉霍夫斯基'],['女']
,
