actors,boxoffice,directors,time,title,type
"段奕宏,万茜,齐溪",,郭俊立,"2018,11,09",一意孤行,喜剧
,,,"2018,03,07",再见十八班,剧情
贾樟柯,,贾樟柯,2018,西游记,冒险
"梅兰尼·格里菲斯,简·林奇,威廉·鲍德温",,"崔允石,约翰·卡夫卡",2018,疯狂侏罗纪,"喜剧,动画,科幻"
"李昂霖,刘书宏,阿本,夏靖庭",86万,李权峰,"2018,07,28",萌学园：寻找盘古,"冒险,奇幻,家庭"
"何达,郑昊,杨俊生",9296万,"高峰,张馨","2018,08,01",浴血广昌,"战争,历史"
"郭京飞,迪丽热巴,大鹏,包贝尔",1.10亿,何念,"2018,04,20",21克拉,"喜剧,爱情"
"张双兵,鲁园,许薇,李可",573万,张跃平,"2018,08,14",大寒,"剧情,战争"
"李冰冰,凯南·鲁兹,吴尊,凯尔希·格兰莫",4950万,金波·兰道,"2018,01,19",谜巢,"动作,冒险"
"伊琳娜·斯达申鲍姆,欧列格·缅希科夫,谢尔盖·加尔马什,奥列格·缅希科夫",238万,费奥多尔·邦达尔丘克,"2018,02,02",莫斯科陷落,"爱情,科幻,灾难"
,62万,郑琼,"2017,12,30",出·路,纪录片
,,,"2018,11,10",猪光宝气,古装
"吴镇宇,张智霖,佘诗曼,周秀娜",7082万,邱礼涛,"2018,06,15",泄密者,"动作,悬疑,犯罪"
"赵涛,张译,梁景东,董子健",3226万,贾樟柯,"2015,10,30",山河故人,"剧情,爱情,家庭"
叶云,130万,佟晟嘉,"2018,08,20",大三儿,纪录片
张宜苏,18万,邵攀,"2018,10,26",自行车与旧电钢,纪录片
"何赛飞,殷桃,谢林彤,胡可",496万,吴贻弓,"2018,09,03",那些女人,剧情
"夏雨,胡军,张静初,吴樾",,孔二狗,2018,东北往事,剧情
"蒂莫西·柴勒梅德,艾米·莱安,史蒂夫·卡瑞尔,毛拉·蒂尔内",523万美元,菲力斯·范·古宁根,"2018,10,12",漂亮男孩,剧情
,,,2018,忠犬八公,剧情
"毕志飞,朱哲健,李彦漫,张芷榕",234万,毕志飞,"2018,02,09",纯洁心灵·逐梦演艺圈,"剧情,喜剧"
"张璐,陈红,张云龙",1760万,"胡里奥·索托·古尔皮德,陈红","2018,08,24",深海历险记,"喜剧,动画,冒险"
"谭卓,赵英俊,张磊,杜天皓",,张力,"2018,12,28",侣行攻略之确认你是我的人,"喜剧,爱情"
"山田凉介,尾野真千子,村上虹郎,林遣都",2876万,广木隆一,"2018,02,02",浪矢解忧杂货店,"剧情,奇幻"
"罗玉婷,翟巍,王晓彤,孙晔",1.09亿,王章俊,"2017,08,18",赛尔号大电影6：圣者无敌,"喜剧,动画,冒险"
"布朗特·乌斯塔曼,小狮子,本古,杜曼",282万,杰达·托伦,"2018,09,22",爱猫之城,"家庭,纪录片"
"杨玥,王梓权,张杨智子,缪艺豪",112万,崔燕,"2018,10,19",非洲遇见你,"喜剧,爱情,动作"
"陈佳汐,夏月,句兆杰,方青卓",1万,李振荣,"2018,08,28",我有钱啦,喜剧
"李易祥,方清平,李子雄,寒青",,刘迪洋,"2018,11,18",一条叫招财的鱼,"剧情,喜剧,犯罪"
"雷佳,韩童生,赵龙豪,高冬平",1398万,徐昂,"2015,05,15",十二公民,"剧情,悬疑,犯罪"
"艾丽西亚·维坎德,多米尼克·威斯特,沃尔顿·戈金斯,吴彦祖",4.97亿,罗阿尔·乌索格,"2018,03,16",古墓丽影：源起之战,"动作,冒险"
"霍志刚,赵圆瑗,陈信喆,黄嘉鑫",,方晓罡,"2018,10,15",西游之天蓬归来,"喜剧,爱情,奇幻,古装"
"西尔维斯特·史泰龙,黄晓明,戴夫·巴蒂斯塔,杰米·金",9132万,史蒂芬·C·米勒,"2018,06,29",金蝉脱壳2,"动作,惊悚,犯罪"
"赵克明,张子扬,马嘉祺,王天发",69万,张惠民,"2018,06,30",快乐星球之三十六号,"冒险,科幻"
"森竣,何蓝逗",,刘鸿志,"2018,11,10",盖世英雄,"爱情,动作,武侠"
何苦,101万,何苦,"2018,08,17",最后的棒棒,纪录片
"詹姆斯·柯登,多姆纳尔·格里森,萝丝·拜恩,玛歌特·罗比",1.68亿,威尔·古勒,"2018,03,02",比得兔,"喜剧,动画,冒险"
"帕拉巴斯,拉纳·达格巴提,安努舒卡·谢蒂,挲塞亚拉杰",7684万,S·S·拉贾穆里,"2018,05,04",巴霍巴利王2：终结,"剧情,动作,奇幻"
"林潇,李劲峰,葛凌芮,邹洁仪",227万,玉素,"2018,10,19",黑暗深处之惊魂夜,"恐怖,惊悚,悬疑"
"贝姬·戈麦斯,埃里克·艾特巴里,乔纳森·坎普,玛德琳·贝塔尼",650万美元,奥利弗·达利,"2018,08,24",机器猛犬,科幻
"牛骏峰,白举纲,吴谨言,谢昀杉",987万,张承,"2018,09,14",说走就走之不说再见,"喜剧,爱情,冒险"
"李波,马丽,张海宇,宋佳",,李玉,2018,阳光不是劫匪,"喜剧,奇幻"
"姜涛,钱冬旎,尚茜,傅亨",21万,董春泽,"2018,04,20",求求你爱上我,"喜剧,爱情"
