['极速风流'],['朗·霍华德'],"['克里斯·海姆斯沃斯', '丹尼尔·布鲁尔', '奥利维亚·王尔德', '亚历山德拉·玛丽亚·拉娜']","['动作,运动,传记']","['2015', '12', '11']",['2001万']
['暴疯语'],['李光耀'],"['刘青云', '黄晓明', '方中信', '薛凯琪']","['悬疑,惊悚']","['2015', '04', '03']",['4489万']
['踏雪寻梅'],"['盛林', '余积廉']","['严晓频', '廖政豪', '杨树林']",['动作'],"['2015', '05', '01']",['4万']
['二龙湖浩哥之风云再起'],[],[],"['剧情,喜剧']","['2015', '08', '21']",[]
['不可思异'],['孙周'],"['王宝强', '小沈阳', '大鹏', '杨抒文']","['剧情,喜剧,科幻']","['2015', '12', '04']",['1.12亿']
['可爱的你'],['关信辉'],"['杨千嬅', '古天乐', '何涴潆', '傅舜盈']",['剧情'],"['2015', '03', '20']",['2211万']
['消失的凶手'],['罗志良'],"['刘青云', '林家栋', '李小璐', '江一燕']","['动作,悬疑,犯罪']","['2015', '11', '27']",['7698万']
['汽车人总动员'],['卓建荣'],"['胡达威', '刘馨萱', '袁文革', '夏甜']","['喜剧,动画,冒险']","['2015', '07', '03']",['584万']
['小飞侠：幻梦启航'],['乔·赖特'],"['休·杰克曼', '加内特·赫德兰', '鲁妮·玛拉', '莱维·米勒']","['喜剧,冒险,奇幻']","['2015', '10', '22']",['2849万']
['霸王别姬(京剧)'],['滕俊杰'],"['尚长荣', '史依弘']",['戏曲'],"['2015', '12', '05']",['100万']
['太平轮·彼岸'],['吴宇森'],"['章子怡', '金城武', '宋慧乔', '黄晓明']","['剧情,爱情,灾难']","['2015', '07', '30']",['5105万']
['前目的地'],"['迈克尔·斯派瑞', '彼得·斯派瑞']","['伊桑·霍克', '莎拉·斯努克', '诺亚·泰勒']","['惊悚,悬疑,科幻']","['2015', '01', '09']",['2万']
['怦然星动'],"['陈国辉', '夏永康']","['杨幂', '李易峰', '陈数']","['爱情,喜剧']","['2015', '12', '03']",['1.59亿']
['百团大战'],"['宁海强', '张玉中']","['陶泽如', '刘之冰', '印小天']","['战争,历史']","['2015', '08', '28']",['4.14亿']
['有一个地方只有我们知道'],['徐静蕾'],"['吴亦凡', '王丽坤', '徐静蕾', '戈登·亚历山大']","['剧情,爱情']","['2015', '02', '10']",['2.81亿']
['明日世界'],['布拉德·伯德'],"['乔治·克鲁尼', '休·劳瑞', '布丽特·罗伯森', '拉菲·卡西迪']","['冒险,科幻,家庭']","['2015', '05', '26']",['1.18亿']
['玩命速递：重启之战'],['卡米尔·狄拉玛'],"['艾德·斯克林', '雷·史蒂文森', '洛安·沙巴诺尔', '加布里埃拉·赖特']","['动作,惊悚,犯罪']","['2015', '11', '20']",['1.28亿']
['暗杀'],['崔东勋'],"['李政宰', '全智贤', '河正宇', '吴达洙']","['剧情,犯罪,历史']","['2015', '09', '17']",['4698万']
['听说'],['郑芬芬'],"['陈意涵', '彭于晏', '陈妍希', '罗北安']","['剧情,爱情']","['2015', '06', '26']",['244万']
['七月半之恐怖宿舍'],['杜潇傲'],"['翟子陌', '余心恬', '马元', '付曼']","['悬疑,惊悚']","['2015', '08', '14']",['1228万']
